"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study"
23,4,5,4,4,4,5,4,5,4,5,5,4,"female",5,"female",20,"secondary school",4,"hungarian",1,"non_face_emoji","study2"
27,4,4,4,4,4,4,4,4,4,4,4,4,"female",4,"male",46,"bachelor",4,"hungarian",1,"non_face_emoji","study2"
32,3,4,4,4,4,3,4,3,3,5,4,3,"female",3,"male",22,"secondary school",4,"hungarian",1,"non_face_emoji","study2"
33,5,5,5,5,5,5,2,5,5,5,5,5,"female",5,"female",21,"secondary school",5,"hungarian",1,"non_face_emoji","study2"
37,4,4,4,4,4,4,4,4,4,4,4,4,"male",5,"male",53,"master",2,"hungarian",1,"non_face_emoji","study2"
40,5,4,3,4,3,4,4,3,2,4,4,4,"male",4,"female",21,"bachelor",5,"hungarian",1,"non_face_emoji","study2"
47,3,5,4,5,4,4,2,5,2,4,5,5,"female",4,"female",28,"bachelor",3,"hungarian",1,"non_face_emoji","study2"
51,4,4,3,2,3,3,3,5,2,4,2,3,"female",4,"female",20,"secondary school",4,"hungarian",1,"non_face_emoji","study2"
95,5,4,4,3,4,4,5,4,4,4,3,3,"female",4,"female",21,"secondary school",4,"hungarian",1,"non_face_emoji","study2"
107,3,3,3,3,3,3,3,3,3,3,3,3,"male",3,"female",18,"secondary school",5,"hungarian",1,"non_face_emoji","study2"
108,3,5,4,4,3,4,4,3,4,4,4,4,"female",3,"female",20,"secondary school",3,"hungarian",1,"non_face_emoji","study2"
121,5,4,4,4,4,5,4,5,4,5,4,5,"female",4,"female",21,"secondary school",5,"hungarian",1,"non_face_emoji","study2"
125,4,4,3,4,4,4,3,5,5,4,4,3,"male",4,"female",16,"primary school",1,"hungarian",1,"non_face_emoji","study2"
127,5,5,4,4,4,4,5,5,5,5,4,4,"female",5,"female",18,"secondary school",4,"hungarian",1,"non_face_emoji","study2"
129,5,5,5,5,5,5,5,5,5,5,5,5,"male",5,"female",15,"primary school",5,"hungarian",1,"non_face_emoji","study2"
131,4,3,2,4,3,3,3,3,3,4,4,2,"female",5,"female",18,"primary school",5,"hungarian",1,"non_face_emoji","study2"
135,5,4,3,4,4,3,4,3,3,3,3,3,"male",4,"female",21,"secondary school",4,"hungarian",1,"non_face_emoji","study2"
70,5,5,5,4,4,4,3,5,3,5,4,4,"female",4,"female",16,"primary school",2,"hungarian",1,"non_face_emoji","study2"
143,4,4,5,4,4,4,4,4,4,5,5,3,"female",4,"female",15,"primary school",4,"hungarian",1,"non_face_emoji","study2"
153,4,5,5,5,5,5,5,5,5,5,5,5,"female",4,"female",21,"secondary school",4,"hungarian",1,"non_face_emoji","study2"
73,4,4,3,4,3,4,4,4,4,4,3,3,"male",4,"female",22,"secondary school",2,"danish",0,"no_emoji","study2"
74,4,4,5,4,3,4,5,3,3,3,3,3,"female",4,"female",27,"bachelor",2,"danish",0,"no_emoji","study2"
76,1,1,4,1,1,2,3,1,5,2,3,4,"male",1,"male",24,"secondary school",1,"danish",0,"no_emoji","study2"
78,4,3,4,3,3,3,4,3,4,3,3,3,"female",4,"male",24,"secondary school",2,"danish",0,"no_emoji","study2"
80,4,4,4,4,3,4,4,4,4,3,3,3,"male",5,"female",21,"secondary school",2,"danish",0,"no_emoji","study2"
82,3,3,4,4,3,4,4,4,4,3,4,3,"female",3,"female",22,"secondary school",5,"danish",0,"no_emoji","study2"
83,2,3,4,3,1,2,4,3,4,1,3,2,"male",2,"female",21,"secondary school",3,"danish",0,"no_emoji","study2"
84,3,3,5,4,3,3,4,4,4,3,4,3,"male",3,"female",22,"secondary school",2,"danish",0,"no_emoji","study2"
85,4,5,5,4,3,4,5,3,4,3,2,3,"male",4,"male",25,"secondary school",4,"danish",0,"no_emoji","study2"
87,3,4,5,4,3,3,4,4,4,3,3,3,"male",4,"male",21,"secondary school",4,"danish",0,"no_emoji","study2"
88,4,5,5,5,4,5,5,5,5,4,5,3,"male",4,"female",21,"secondary school",5,"danish",0,"no_emoji","study2"
90,1,1,3,2,1,3,3,3,3,1,3,1,"male",2,"male",22,"secondary school",4,"danish",0,"no_emoji","study2"
94,1,1,2,2,1,2,3,2,2,1,2,1,"male",1,"female",30,"secondary school",4,"danish",0,"no_emoji","study2"
113,3,4,4,4,3,4,4,3,4,3,3,3,"male",5,"female",21,"secondary school",4,"danish",0,"no_emoji","study2"
114,2,3,3,3,3,2,3,2,3,2,2,2,"male",2,"female",21,"secondary school",3,"danish",0,"no_emoji","study2"
120,5,5,5,5,4,3,5,5,5,5,5,5,"female",5,"female",23,"primary school",2,"danish",0,"no_emoji","study2"
126,1,3,3,3,2,1,2,4,2,2,1,1,"male",1,"male",19,"secondary school",1,"danish",0,"no_emoji","study2"
128,2,3,4,3,2,3,4,3,3,3,4,3,"male",3,"male",47,"bachelor",2,"danish",0,"no_emoji","study2"
71,4,4,4,5,3,4,3,4,4,3,3,3,"male",5,"male",23,"secondary school",3,"danish",0,"no_emoji","study2"
