"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study","competence","warmness"
39,2,4,2,2,1,3,3,5,3,1,3,1,"female",2,"female",50,"master",1,"hungarian",0,"face_emoji","study1",-1.3927647139125,-1.08363554880097
30,3,5,5,4,4,4,5,5,5,4,4,4,"female",3,"female",21,"secondary school",5,"hungarian",0,"face_emoji","study1",0.31574652985533,1.43784027718813
54,1,5,5,3,1,2,5,3,3,2,3,3,"female",1,"female",20,"secondary school",4,"hungarian",0,"face_emoji","study1",-1.75170372977093,1.08216311400156
98,3,5,5,4,4,2,5,3,3,2,3,5,"female",3,"female",17,"primary school",5,"hungarian",0,"face_emoji","study1",-0.526079739211877,0.888913163138551
100,5,5,5,5,5,5,5,5,5,5,5,5,"female",5,"female",14,"primary school",2,"hungarian",0,"face_emoji","study1",1.50130077942512,1.32822532112733
104,2,4,5,3,3,3,2,4,5,2,3,3,"male",4,"male",24,"bachelor",4,"hungarian",0,"face_emoji","study1",-0.736219058827555,0.0420143470727215
106,3,3,5,4,4,5,5,5,5,5,5,5,"female",3,"female",16,"primary school",2,"hungarian",0,"face_emoji","study1",0.760500271956585,1.16966263686365
124,1,5,5,3,3,3,5,2,3,3,3,3,"female",1,"female",24,"secondary school",4,"hungarian",0,"face_emoji","study1",-1.22003556067458,0.955408387034889
132,3,4,4,4,4,3,4,4,4,3,3,3,"female",3,"female",22,"bachelor",3,"hungarian",0,"face_emoji","study1",-0.180800605680778,0.0267936573431448
133,3,4,2,2,1,1,2,3,2,3,2,1,"female",3,"female",16,"primary school",2,"hungarian",0,"face_emoji","study1",-1.34978098473115,-2.22315822635458
72,4,1,3,3,2,4,3,5,5,4,2,3,"female",2,"female",18,"secondary school",5,"hungarian",0,"face_emoji","study1",-0.0379786939034897,-1.36851841598321
147,3,4,5,4,4,4,5,4,3,4,3,4,"female",4,"female",17,"other",2,"hungarian",0,"face_emoji","study1",0.0751018740923297,0.589697967106602
138,3,5,4,4,3,4,5,4,4,3,3,3,"female",5,"female",24,"master",4,"hungarian",0,"face_emoji","study1",-0.262206218610442,0.679200612068133
150,3,4,4,3,3,4,4,3,4,3,4,3,"female",3,"female",48,"secondary school",3,"hungarian",0,"face_emoji","study1",-0.380493910116365,0.159389200721881
156,2,4,4,4,3,3,5,4,4,3,4,3,"female",4,"female",22,"secondary school",5,"hungarian",0,"face_emoji","study1",-0.538784520807044,0.703666980711752
4,5,5,4,4,4,4,4,5,4,5,4,4,"female",4,"male",22,"secondary school",4,"hungarian",1,"face_emoji","study1",1.01323262051517,0.148502074581982
14,4,5,4,5,5,5,5,5,5,4,5,5,"female",4,"female",22,"secondary school",3,"hungarian",1,"face_emoji","study1",1.208609532471,1.14947451179206
9,5,5,3,4,5,5,4,5,5,5,4,5,"female",5,"female",22,"secondary school",3,"hungarian",1,"face_emoji","study1",1.50689026427616,0.0707403911889998
36,5,5,5,5,5,5,5,5,5,5,5,5,"female",5,"female",20,"secondary school",4,"hungarian",1,"face_emoji","study1",1.50130077942512,1.32822532112733
