"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study","competence","warmness"
6,3,4,4,4,3,3,4,4,3,3,3,2,"male",3,"female",24,"primary school",3,"danish",0,"non_face_emoji","study2",-0.464681265572631,-0.236413799066729
16,3,5,5,3,3,4,5,4,4,3,4,4,"male",4,"female",26,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.290102022686233,1.24511625004493
21,4,3,4,4,4,4,4,4,4,3,3,3,"male",5,"male",24,"bachelor",4,"danish",0,"non_face_emoji","study2",0.114321772901962,-0.296015221523925
22,4,4,5,3,3,3,4,4,5,3,3,3,"male",5,"male",24,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.361976266161814,0.504733748555371
44,3,4,4,3,3,3,4,3,5,3,3,3,"male",3,"female",22,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.58648440355909,0.218316215261034
46,2,4,5,4,4,5,5,5,4,4,4,3,"male",4,"female",22,"secondary school",4,"danish",0,"non_face_emoji","study2",0.116601333335936,1.08745332817736
122,4,4,5,4,3,4,4,4,4,3,4,3,"male",4,"male",22,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.0103401283812549,0.446663558403136
67,1,1,1,1,1,1,1,1,1,1,1,1,"female",1,"other",34,"PhD",1,"danish",0,"non_face_emoji","study2",-2.46231014571155,-3.71899239912709
75,2,4,5,3,3,3,5,5,5,4,4,3,"male",3,"female",27,"bachelor",2,"danish",0,"non_face_emoji","study2",-0.457552168880961,1.2811271379468
79,2,3,3,2,3,2,4,2,4,3,4,2,"male",3,"female",36,"bachelor",4,"danish",0,"non_face_emoji","study2",-1.16838719597243,-0.457798244354774
86,2,4,4,3,3,3,4,4,4,3,3,2,"male",3,"male",21,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.785263258527528,0.112228780236117
